"Start time
(EDT)";"Duration";"Run no.";"Run type";"Beam";"Beam energy";"Target";"Shifters";"Comments (given at start of run,
if not otherwise specified)";"Triggers" 
"2023-06-26
07:38:36";"0:58:09";"038";"CALIBRATION";"21Mg";"30 keV";"C";LW, MM;"We run background while Chandanna
optimizes 22Al in cryo gass cell
END-OF-RUN COMMENT BY LW, MM: We run
background while Chandanna optimizes
22Al in cryo gass cell";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
08:37:30";"0:09:10";"039";"RUN";"21Mg";"30 keV";"C";EJ, JD, HF;"aluminum with 3 water
EXTRA COMMENT
0.3 MINUTES INTO RUN BY EJ, JD, HF:
aluminum with 3 water. beam is 22Al!
END-OF-RUN COMMENT BY EJ, JD, HF:
aluminum with 3 water. beam is 22Al!";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
09:00:43";"0:06:56";"040";"RUN";"22Al";"30 keV";"C";EJ, JD, HF;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
09:36:46";"0:34:14";"041";"CALIBRATION";"Background";"-";"-";EJ, JD, HF, AA;"background while Chandana and co.
tune on the cryogenic gas cell
END-
OF-RUN COMMENT BY EJ, JD, HF, AA:
background while Chandana and co.
tune on the cryogenic gas cell";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
10:27:20";"0:57:34";"042";"CALIBRATION";"Background";"-";"-";EJ, JD, HF, AA;"background while Chandana and co.
tune on the cryogenic gas cell. had
to disconnect network briefly,
resuming
END-OF-RUN COMMENT BY EJ,
JD, HF, AA: background while
Chandana and co. tune on the
cryogenic gas cell. had to
disconnect network briefly, resuming";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
14:16:00";"0:11:52";"043";"CALIBRATION";"Background";"-";"-";EJ, JD, HF, AA, LS, JSN, CW;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
14:28:01";"0:24:17";"044";"RUN";"21Mg";"30 keV";"C";EJ, JD, HF, AA, LS, JSN, CW;"EXTRA COMMENT 24.3 MINUTES INTO RUN
BY EJ, JD, HF, AA, LS, JSN, CW: beam
tuning throughout
END-OF-RUN COMMENT
BY EJ, JD, HF, AA, LS, JSN, CW: beam
tuning throughout";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
14:55:09";"N/A";"045";"RUN";"22Al";"30 keV";"C";EJ, JD, HF, AA, LS, JSN, CW;"22Al out of the cryogenic gas cell
(previously the room temp gas cell)
at mass 22 -- no water molecules or
similar";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
15:24:21";"N/A";" ";" ";"-";"-";"-";EJ, JD, HF, AA, LS, JSN, CW;"IN-BETWEEN-RUN COMMENT: lost power
on the PC running the data taking -
file may have been corrupted";" " 
"2023-06-26
15:26:20";"0:14:04";"046";"RUN";"22Al";"30 keV";"C";EJ, JD, HF, AA, LS, JSN, CW;"EXTRA COMMENT 0.1 MINUTES INTO RUN
BY EJ, JD, HF, AA, LS, JSN, CW, MM:
.";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
15:40:53";"1:33:23";"047";"RUN";"22Al";"30 keV";"C";EJ, JD, HF, AA, LS, JSN, CW, MM;"EXTRA COMMENT 32.0 MINUTES INTO RUN
BY EJ, JD, HF, AA, LS, JSN, CW, MM:
At 30 min in this file (16:12 local
time, 22:12 DK time) Chandanna is
checking the yield, therefore drop
in rate";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
17:14:36";"1:07:58";"048";"RUN";"22Al";"30 keV";"C";EJ, HF, LS, JSN, CW;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
18:22:48";"1:44:54";"049";"RUN";"22Al";"30 keV";"C";EJ, HF, LS, JSN;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
20:07:48";"0:19:21";"050";"RUN";"22Al";"30 keV";"C";EJ, MM, LS, JSN;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
20:29:11";"1:29:20";"051";"RUN";"22Al";"30 keV";"C";EJ, LS, JSN;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
21:58:40";"0:06:27";"052";"RUN";"22Al";"30 keV";"C";EJ, LS, JSN;"END-OF-RUN COMMENT BY EJ, LS, JSN:
cavity tripped, few minutes to fix,
stopping";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
22:24:30";"1:31:13";"053";"CALIBRATION";"Background";"-";"-";EJ, LS, JSN;"background run
EXTRA COMMENT 5.2
MINUTES INTO RUN BY EJ, LS, JSN:
someone has to come in and look at
fixing the tripped cavity - he will
arrive in 30 minutes, and the beam
should be back shortly after that --
message from beam ops
END-OF-RUN
COMMENT BY EJ, LS, JSN: someone has
to come in and look at fixing the
tripped cavity - he will arrive in
30 minutes, and the beam should be
back shortly after that -- message
from beam ops";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-26
23:56:55";"0:01:05";"054";"CALIBRATION";"Background";"-";"-";EJ, LS, LW, HF;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
00:00:30";"1:18:18";"055";"RUN";"22Al";"30 keV";"C";EJ, LS, LW, HF;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
01:19:24";"4:30:28";"056";"CALIBRATION";"Background";"-";"-";EJ, LS, LW, HF;"EXTRA COMMENT 0.2 MINUTES INTO RUN
BY EJ, LS, LW, HF: short stop";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
05:50:17";"3:35:26";"057";"RUN";"22Al";"30 keV";"C";HF, LW;"beam back after 4-5 h break
END-OF-
RUN COMMENT BY HF, LW: beam off at
06.17 for a short while";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
09:25:57";"2:40:31";"058";"RUN";"22Al";"30 keV";"C";HF, LW;"Restart after 3 hours
EXTRA COMMENT
0.4 MINUTES INTO RUN BY JSN, JD, CW,
MM: Restart after 3 hours
END-OF-RUN
COMMENT BY JSN, JD, CW, MM: Restart
after 3 hours";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
12:06:42";"0:12:33";"059";"RUN";"22Al";"30 keV";"C";JSN, JD, CW, MM;"Restart after 2.4 hours
EXTRA
COMMENT 0.1 MINUTES INTO RUN BY JSN,
JD, CW, MM: Restart after 2.4 hours
END-OF-RUN COMMENT BY JSN, JD, CW,
MM: Beam stopped";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
12:19:35";"0:34:19";"060";"RUN";"22Al";"30 keV";"C";JSN, JD, CW, MM;"EXTRA COMMENT 0.6 MINUTES INTO RUN
BY JSN, HF, MM: Restart immediatly
after beam loss to measure daughters
END-OF-RUN COMMENT BY JSN, HF, MM:
Restart immediatly after beam loss
to measure daughters";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
12:54:06";"0:45:11";"061";"RUN";"22Al";"30 keV";"C";JSN, HF, MM;"We have beam again
END-OF-RUN
COMMENT BY JSN, HF, MM: We have beam
again";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
13:39:42";"0:37:17";"062";"CALIBRATION";"Background";"-";"-";JSN, HF, MM;"No Beam
END-OF-RUN COMMENT BY JSN,
HF, MM: No Beam";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
14:17:19";"2:34:20";"063";"RUN";"22Al";"30 keV";"C";JSN, HF, MM;"Beam has returned
END-OF-RUN COMMENT
BY JSN, HF, MM: Beam has returned";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
16:51:52";"4:04:47";"064";"RUN";"22Al";"30 keV";"C";JSN, HF, MM;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
20:56:48";"1:19:44";"065";"RUN";"22Al";"30 keV";"C";LS, EJ;"EXTRA COMMENT 30.9 MINUTES INTO RUN
BY LS, EJ: NOTE ON RUN 064: There
may have been a small spike or three
in triggers somewhere between 20:30
and 21:00 as bias was briefly turned
off on all channels of the bias
module containing P6, U5 and U6 due
to some RC issues";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
22:16:56";"0:00:27";"066";"RUN";"22Al";"30 keV";"C";LS, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
22:17:34";"0:09:51";"067";"RUN";"22Al";"30 keV";"C";LS, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
22:29:13";"1:05:25";"068";"RUN";"22Al";"30 keV";"C";LS, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
23:34:46";"N/A";"069";"RUN";"22Al";"30 keV";"C";LS, EJ;"EXTRA COMMENT 0.1 MINUTES INTO RUN
BY LS, EJ, LW: .";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-27
23:47:17";"1:02:05";"070";"RUN";"22Al";"30 keV";"C";LS, EJ, LW;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
